,name,date_txt,country,lat,lon,clouds,rain,wind_direction_deg,wind_speed,sea_level,temp_max,grnd_level,temp_min,humidity,temp,pressure
0,Mumbai,2019-10-16 12:00:00,IN,19.0144,72.8479,16,0.0,12.291,2.461,1010,306.39,1005.797,304.233,63,306.39,1010
1,Mumbai,2019-10-16 15:00:00,IN,19.0144,72.8479,0,0.0,58.298,1.823,1011,303.62,1007.287,302.0,65,303.62,1011
2,Mumbai,2019-10-16 18:00:00,IN,19.0144,72.8479,12,0.0,88.312,2.105,1011,301.48,1007.842,300.4,66,301.48,1011
3,Mumbai,2019-10-16 21:00:00,IN,19.0144,72.8479,100,0.0,69.014,2.295,1010,300.42,1006.776,299.885,64,300.42,1010
4,Mumbai,2019-10-17 00:00:00,IN,19.0144,72.8479,100,0.0,54.559,2.768,1010,298.995,1006.822,298.995,66,298.995,1010
5,Mumbai,2019-10-17 03:00:00,IN,19.0144,72.8479,87,0.0,66.657,2.61,1013,299.975,1009.444,299.975,68,299.975,1013
6,Mumbai,2019-10-17 06:00:00,IN,19.0144,72.8479,93,0.0,88.94,2.919,1012,303.744,1008.769,303.744,60,303.744,1012
7,Mumbai,2019-10-17 09:00:00,IN,19.0144,72.8479,100,0.0,66.249,1.102,1009,305.284,1005.553,305.284,58,305.284,1009
8,Mumbai,2019-10-17 12:00:00,IN,19.0144,72.8479,100,0.0,316.669,2.743,1009,303.559,1005.039,303.559,65,303.559,1009
9,Mumbai,2019-10-17 15:00:00,IN,19.0144,72.8479,0,0.0,355.456,1.085,1011,302.064,1007.184,302.064,68,302.064,1011
10,Mumbai,2019-10-17 18:00:00,IN,19.0144,72.8479,0,0.0,97.86,2.34,1010,300.412,1006.911,300.412,67,300.412,1010
11,Mumbai,2019-10-17 21:00:00,IN,19.0144,72.8479,0,0.0,57.883,2.677,1009,299.763,1005.886,299.763,68,299.763,1009
12,Mumbai,2019-10-18 00:00:00,IN,19.0144,72.8479,11,0.0,70.098,2.482,1009,299.226,1005.55,299.226,67,299.226,1009
13,Mumbai,2019-10-18 03:00:00,IN,19.0144,72.8479,32,0.0,65.924,2.513,1012,300.623,1008.718,300.623,65,300.623,1012
14,Mumbai,2019-10-18 06:00:00,IN,19.0144,72.8479,16,0.0,87.117,2.386,1011,304.246,1008.122,304.246,61,304.246,1011
15,Mumbai,2019-10-18 09:00:00,IN,19.0144,72.8479,67,0.0,107.902,0.917,1008,305.718,1004.915,305.718,57,305.718,1008
16,Mumbai,2019-10-18 12:00:00,IN,19.0144,72.8479,83,0.0,302.431,2.297,1008,303.773,1004.799,303.773,68,303.773,1008
